 1491 bSO3      IONRAD              bSO2      bO                                      0.50E+00  0.00 2.39E+01
 1491 gSO3      IONRAD              gSO       gO2                                     0.50E+00  0.00 2.39E+01
 1491 bSO3      IONRAD              bSO       bO2                                     0.50E+00  0.00 2.39E+01
 1491 gSO3      IONRAD              gSO3*                                             1.00E+00  0.00 2.39E+01
 1491 bSO3      IONRAD              bSO3*                                             1.00E+00  0.00 2.39E+01
 1491 gSO       IONRAD              gS*       gO*                                     1.00E+00  0.00 3.70E+00
 1491 gSO       IONRAD              gS        gO                                      1.00E+00  0.00 5.51E+00
 1491 gSO       IONRAD              gSO*                                              1.00E+00  0.00 5.51E+00
 1491 bSO       IONRAD              bS*       bO*                                     1.00E+00  0.00 3.70E+00
 1491 bSO       IONRAD              bS        bO                                      1.00E+00  0.00 5.51E+00
 1491 bSO       IONRAD              bSO*                                              1.00E+00  0.00 5.51E+00
 1491 bS        IONRAD              bS*                                               1.00E+00  0.00 3.70E+00
 1491 bS        IONRAD              bS*                                               1.00E+00  0.00 2.91E+00
 1491 gS        IONRAD              gS*                                               1.00E+00  0.00 3.70E+00
 1491 gS        IONRAD              gS*                                               1.00E+00  0.00 2.91E+00
 1491 bO        IONRAD              bO*                                               1.00E+00  0.00 3.70E+00
 1491 bO        IONRAD              bO*                                               1.00E+00  0.00 1.93E+00
 1491 gO        IONRAD              gO*                                               1.00E+00  0.00 3.70E+00
 1491 gO        IONRAD              gO*                                               1.00E+00  0.00 1.93E+00
 1491 gH2       IONRAD              gH*       gH*                                     1.00E+00  0.00 3.70E+01
 1491 bH2       IONRAD              bH*       bH*                                     1.00E+00  0.00 3.70E+01
 1491 gH2       IONRAD              gH        gH                                      5.00E-01  0.00 2.04E+01
 1491 bH2       IONRAD              bH        bH                                      5.00E-01  0.00 2.04E+01
 1491 gH2       IONRAD              gH2*                                              5.00E-01  0.00 2.04E+01
 1491 bH2       IONRAD              bH2*                                              5.00E-01  0.00 2.04E+01
 1491 gOH       IONRAD              gO*       gH*                                     1.00E+00  0.00 3.70E+00
 1491 bOH       IONRAD              bO*       bH*                                     1.00E+00  0.00 3.70E+00
 1491 gOH       IONRAD              gO        gH                                      1.00E+00  0.00 5.66E+00
 1491 bOH       IONRAD              bO        bH                                      1.00E+00  0.00 5.66E+00
 1491 gOH       IONRAD              gOH*                                              1.00E+00  0.00 5.66E+00
 1491 bOH       IONRAD              bOH*                                              1.00E+00  0.00 5.66E+00
 1491 gHO3      IONRAD              gO2*      gOH*                                    1.00E+00  0.00 3.70E+00
 1491 bHO3      IONRAD              bO2*      bOH*                                    1.00E+00  0.00 3.70E+00
 1491 gHO3      IONRAD              gO2       gOH                                     1.00E+00  0.00 3.70E+00
 1491 bHO3      IONRAD              bO2       bOH                                     1.00E+00  0.00 3.70E+00
 1491 gHO3      IONRAD              gHO3*                                             1.00E+00  0.00 3.70E+00
